
Le contexte de multi-Çtendue en cours a ÇtÇ changÇ pour la multi-Çtendue 192.168.4.0.

Typeˇ: N - AUCUN, D - DHCP B - BOOTP, U - NON SPêCIFIê, R - RêSERVATION IP
==============================================================================
Adresse IP     - Masque SousRÇs. - ID unique         -  Expiration bail  -Type
==============================================================================

192.168.4.10     - 255.255.252.0  - 6c-02-e0-00-8d-39   -04/11/2025 07:04:48    -D-  P123456-076-032.domain.local
192.168.4.11     - 255.255.252.0  - 84-ba-59-52-a1-8f   -03/11/2025 15:11:27    -D-  P123456-075-202.domain.local
192.168.4.12     - 255.255.252.0  - bc-e9-2f-cf-46-b8   -02/11/2025 07:03:19    -D-  P123456-040-019.domain.local
192.168.4.13     - 255.255.252.0  - 6c-02-e0-01-6a-3d   -04/11/2025 07:07:16    -D-  P123456-400-009.domain.local
192.168.4.14     - 255.255.252.0  - 68-45-f1-2e-be-4a   -02/11/2025 11:24:17    -D-  P123456-262-201.domain.local
192.168.4.15     - 255.255.252.0  - b4-a2-eb-a2-3d-fa   -03/11/2025 08:49:06    -D-  P123456-037-402.domain.local
192.168.4.16     - 255.255.252.0  - b0-5c-da-5d-fd-e4   -03/11/2025 07:06:25    -D-  P123456-040-023.domain.local
192.168.4.17     - 255.255.252.0  - 6c-02-e0-00-12-3b   -01/11/2025 07:07:36    -D-  P123456-025-011.domain.local
192.168.4.18     - 255.255.252.0  - b4-a2-eb-a2-3d-ed   -04/11/2025 07:44:40    -D-  P123456-025-210.domain.local
192.168.4.19     - 255.255.252.0  - b4-a2-eb-a2-3e-08   -04/11/2025 07:13:52    -D-  P123456-121-316.domain.local
192.168.4.21     - 255.255.252.0  - 84-ba-59-48-93-8b   -04/11/2025 07:10:48    -D-  P123456-041-405.domain.local
192.168.4.22     - 255.255.252.0  - b0-5c-da-5d-26-4b   -03/11/2025 16:45:21    -D-  P123456-016-017.domain.local
192.168.4.23     - 255.255.252.0  - 68-45-f1-01-c0-4a   -04/11/2025 07:11:11    -D-  P123456-035-201.domain.local
192.168.4.24     - 255.255.252.0  - b4-a2-eb-a2-d9-56   -04/11/2025 07:18:07    -D-  P123456-081-03B.domain.local
192.168.4.26     - 255.255.252.0  - 68-45-f1-ec-be-4a   -04/11/2025 07:27:28    -D-  P123456-035-209.domain.local
192.168.4.27     - 255.255.252.0  - 68-45-f1-20-bf-4a   -04/11/2025 07:05:33    -D-  P123456-021-201.domain.local
192.168.4.28     - 255.255.252.0  - 84-ba-59-53-ba-d1   -04/11/2025 07:06:26    -D-  P123456-076-204.domain.local
192.168.4.29     - 255.255.252.0  - 9c-eb-e8-d5-c5-8f   -04/11/2025 09:31:25    -D-  P123456-108-402.domain.local
192.168.4.30     - 255.255.252.0  - b4-a2-eb-a2-3e-00   -04/11/2025 08:52:42    -D-  P123456-037-402.domain.local
192.168.4.34     - 255.255.252.0  - b4-a2-eb-a2-41-f7   -04/11/2025 07:29:18    -D-  P123456-040-012.domain.local
192.168.4.35     - 255.255.252.0  - 68-45-f1-2a-67-49   -04/11/2025 07:28:48    -D-  P123456-879-201.domain.local
192.168.4.36     - 255.255.252.0  -00-0a-59-06-0e-c6   - N'EXPIRE JAMAIS        -U-  SONDE-SALLE-SER.domain.local
192.168.4.37     - 255.255.252.0  - bc-e9-2f-cf-12-11   -04/11/2025 09:45:41    -D-  P123456-011-002.domain.local
192.168.4.38     - 255.255.252.0  - bc-e9-2f-cf-f5-92   -04/11/2025 09:21:34    -D-  P123456-076-008.domain.local
192.168.4.39     - 255.255.252.0  - 68-45-f1-68-bc-4a   -03/11/2025 07:16:45    -D-  P123456-025-213.domain.local
192.168.4.40     - 255.255.252.0  - bc-e9-2f-cf-c7-0e   -04/11/2025 07:56:35    -D-  P123456-042-012.domain.local
192.168.4.41     - 255.255.252.0  - 68-45-f1-56-bf-4a   -03/11/2025 07:14:48    -D-  P123456-025-211.domain.local
192.168.4.42     - 255.255.252.0  - 84-ba-59-72-85-72   -04/11/2025 07:11:49    -D-  P123456-400-401.domain.local
192.168.4.43     - 255.255.252.0  - bc-e9-2f-cf-92-6b   -02/11/2025 12:58:59    -D-  P123456-740-001.domain.local
192.168.4.44     - 255.255.252.0  - 68-45-f1-1c-53-57   -04/11/2025 07:20:51    -D-  P123456-263-214.domain.local
192.168.4.45     - 255.255.252.0  - bc-e9-2f-cf-99-e0   -04/11/2025 07:03:48    -D-  P123456-323-002.domain.local
192.168.4.46     - 255.255.252.0  - 68-45-f1-e3-bd-4a   -04/11/2025 07:21:19    -D-  P123456-037-201.domain.local
192.168.4.47     - 255.255.252.0  - b4-a2-eb-a2-3d-dd   -04/11/2025 07:17:11    -D-  P123456-076-013.domain.local
192.168.4.48     - 255.255.252.0  - 6c-02-e0-00-13-a8   -03/11/2025 07:15:28    -D-  P123456-025-010.domain.local
192.168.4.49     - 255.255.252.0  - 30-24-a9-ae-df-1a   -01/11/2025 15:42:31    -D-  P123456-025-005.domain.local
192.168.4.50     - 255.255.252.0  - bc-e9-2f-ce-cd-79   -04/11/2025 07:51:25    -D-  P123456-076-036.domain.local
192.168.4.51     - 255.255.252.0  - b4-a2-eb-a2-3d-c0   -02/11/2025 13:04:16    -D-  P123456-076-024.domain.local
192.168.4.52     - 255.255.252.0  - bc-e9-2f-cf-ca-99   -02/11/2025 07:24:07    -D-  P123456-040-024.domain.local
192.168.4.53     - 255.255.252.0  - 68-45-f1-3d-bf-4a   -02/11/2025 11:06:31    -D-  P123456-010-214.domain.local
192.168.4.54     - 255.255.252.0  - 68-45-f1-a5-be-4a   -04/11/2025 07:33:11    -D-  P123456-037-203.domain.local
192.168.4.55     - 255.255.252.0  - bc-e9-2f-cf-ba-3e   -03/11/2025 14:42:32    -D-  P123456-264-002.domain.local
192.168.4.56     - 255.255.252.0  - 6c-02-e0-01-4a-91   -03/11/2025 07:08:20    -D-  P123456-076-023.domain.local
192.168.4.57     - 255.255.252.0  - b4-a2-eb-a2-d9-c1   -04/11/2025 07:44:03    -D-  P123456-010-210.domain.local
192.168.4.58     - 255.255.252.0  - 68-45-f1-7e-52-57   -04/11/2025 09:10:31    -D-  P123456-035-218.domain.local
192.168.4.59     - 255.255.252.0  - b4-a2-eb-a2-42-03   -04/11/2025 09:29:07    -D-  P123456-999-001.domain.local
192.168.4.60     - 255.255.252.0  - 5c-28-86-9e-ce-c5   -04/11/2025 07:38:43    -D-  P123456-019-204.domain.local
192.168.4.61     - 255.255.252.0  - 68-45-f1-b0-45-46   -04/11/2025 08:27:21    -D-  P123456-126-210.domain.local
192.168.4.62     - 255.255.252.0  - 6c-02-e0-01-8a-c1   -04/11/2025 07:11:59    -D-  P123456-076-027.domain.local
192.168.4.63     - 255.255.252.0  - 68-45-f1-4f-a7-4a   -03/11/2025 21:21:51    -D-  P123456-121-260.domain.local
192.168.4.64     - 255.255.252.0  - 68-45-f1-4f-56-57   -04/11/2025 07:14:48    -D-  P123456-263-212.domain.local
192.168.4.65     - 255.255.252.0  - b4-a2-eb-a2-3d-90   -04/11/2025 08:51:54    -D-  P123456-321-409.domain.local
192.168.4.66     - 255.255.252.0  - b4-a2-eb-a2-41-d5   -04/11/2025 07:22:06    -D-  P123456-081-048.domain.local
192.168.4.67     - 255.255.252.0  - b4-a2-eb-a2-42-26   -02/11/2025 08:28:28    -D-  P123456-025-202.domain.local
192.168.4.69     - 255.255.252.0  - 45-04-9c-37         -01/11/2025 07:17:44    -D-  BAD_ADDRESS
192.168.4.70     - 255.255.252.0  - 46-04-9c-37         -01/11/2025 07:18:00    -D-  BAD_ADDRESS
192.168.4.71     - 255.255.252.0  - bc-e9-2f-cf-f1-22   -04/11/2025 07:34:56    -D-  P123456-042-001.domain.local
192.168.4.72     - 255.255.252.0  - 84-ba-59-72-83-89   -04/11/2025 07:13:53    -D-  P123456-740-204.domain.local
192.168.4.73     - 255.255.252.0  - 84-ba-59-43-a4-88   -04/11/2025 09:29:21    -D-  P123456-126-409.domain.local
192.168.4.74     - 255.255.252.0  - 68-45-f1-30-54-57   -03/11/2025 08:03:51    -D-  P123456-016-220.domain.local
192.168.4.76     - 255.255.252.0  - d0-ad-08-2b-5e-66   -02/11/2025 14:59:39    -D-  P123456-101-324.domain.local
192.168.4.78     - 255.255.252.0  - 84-ba-59-75-f7-59   -03/11/2025 07:49:30    -D-  P123456-112-401.domain.local
192.168.4.79     - 255.255.252.0  - b4-a2-eb-a2-42-52   -01/11/2025 07:39:42    -D-  P123456-037-202.domain.local
192.168.4.80     - 255.255.252.0  - bc-e9-2f-cf-52-6c   -03/11/2025 09:01:32    -D-  P123456-025-026.domain.local
192.168.4.81     - 255.255.252.0  - bc-e9-2f-cf-6a-40   -04/11/2025 07:54:46    -D-  P123456-019-002.domain.local
192.168.4.82     - 255.255.252.0  - bc-e9-2f-cf-5a-30   -04/11/2025 07:16:36    -D-  P123456-016-009.domain.local
192.168.4.83     - 255.255.252.0  - 68-45-f1-91-bf-4a   -04/11/2025 07:25:32    -D-  P123456-040-211.domain.local
192.168.4.84     - 255.255.252.0  - 68-45-f1-65-bf-4a   -02/11/2025 07:37:41    -D-  P123456-262-211.domain.local
192.168.4.85     - 255.255.252.0  - b4-a2-eb-a2-d9-e8   -04/11/2025 08:18:48    -D-  P123456-042-201.domain.local
192.168.4.88     - 255.255.252.0  - 84-ba-59-43-9c-1d   -02/11/2025 07:20:22    -D-  P123456-025-401.domain.local
192.168.4.89     - 255.255.252.0  - 84-ba-59-75-ec-15   -03/11/2025 07:21:55    -D-  P123456-017-405.domain.local
192.168.4.90     - 255.255.252.0  - bc-e9-2f-cf-ba-10   -04/11/2025 07:52:35    -D-  P123456-400-005.domain.local
192.168.4.91     - 255.255.252.0  - b4-a2-eb-a2-d9-b2   -04/11/2025 08:26:16    -D-  P123456-081-040.domain.local
192.168.4.92     - 255.255.252.0  - bc-e9-2f-cf-77-1c   -04/11/2025 08:26:23    -D-  P123456-400-004.domain.local
