name
AggregatorHost
AuthManSvr
ConfigurationWizard
CptService
CxAudioSvc
EPConsole
EPHost.Integrity
EPIntegrationService
EPProtectedService
EPSecurityService
EPUpdateService
ESSOCredentialManager
EsAppId
EsComm
EsGuard
EsGui
EsGuiSrv
EsInject
EsInjectWow64Host
EsLog
EsPolicy
EsResponse
EsScript
EsScriptHost
EsUsbCtrl
EsWirelessCtrl
Idle
InfosSupport
LMS
LogonUI
Memory
Microsoft.Photos
NVDisplay.Container
OcsService
PSEXESVC
PrinterAgentSystray
Pulse
PulseSecureService
Receiver
Registry
RstMwService
RuntimeBroker
SECOMN64
SearchApp
SearchFilterHost
SearchIndexer
SearchProtocolHost
SecurityHealthService
SelfServicePlugin
ShellExperienceHost
StartMenuExperienceHost
TabTip
TehtrisEPP
UserOOBEBroker
WGSS
WGSens
WMIRegistrationService
WUDFHost
WmiPrvSE
acumbrellaagent
bdredline
cmd
concentr
conhost
ctfmon
dasTray
dasc
dwm
explorer
firefox
fontdrvhost
fusioninventory-agent
jhi_service
lbs_native_host
memreader
memscan
nvWmi64
nxtbsm
nxtcod
nxtcoordinator
nxteufb
nxtray
nxtsvc
nxtupdater
nxtusm
pacjsworker
plasrv
python
pythonservice
rdpclip
redirector
sihost
smartscreen
spoolsv
srvsec
sshd
taskhostw
vds
vpnagent
wapt-get
waptservice
wfcrun32
