id;name;etat
LSM;Gestionnaire de session locale;RUNNING
LxpSvc;Service d'expérience linguistique;STOPPED
MapsBroker;Gestionnaire des cartes téléchargées;STOPPED
McpManagementService;McpManagementService;STOPPED
MicrosoftEdgeElevationService;Microsoft Edge Elevation Service (MicrosoftEdgeElevationService);STOPPED
MixedRealityOpenXRSvc;Windows Mixed Reality OpenXR Service;STOPPED
mpssvc;Pare-feu Windows Defender;RUNNING
MSDTC;Coordinateur de transactions distribuées;STOPPED
MSiSCSI;Service Initiateur iSCSI de Microsoft;RUNNING
msiserver;Windows Installer;RUNNING
MsKeyboardFilter;Filtre clavier Microsoft;STOPPED
NaturalAuthentication;Authentification naturelle;STOPPED
NcaSvc;Assistant Connectivité réseau;STOPPED
NcbService;Service Broker pour les connexions réseau;RUNNING
NcdAutoSetup;Configuration automatique des périphériques connectés au réseau;STOPPED
Netlogon;Netlogon;RUNNING
Netman;Connexions réseau;STOPPED
netprofm;Service Liste des réseaux;RUNNING
NetSetupSvc;Service Configuration du réseau;STOPPED
NetTcpPortSharing;Service de partage de ports Net.Tcp;STOPPED
Nexthink Coordinator;Nexthink Coordinator;RUNNING
Nexthink Service;Nexthink Collector Service;RUNNING
NgcCtnrSvc;Conteneur Microsoft Passport;STOPPED
NgcSvc;Microsoft Passport;STOPPED
NlaSvc;Connaissance des emplacements réseau;RUNNING
nsi;Service Interface du magasin réseau;RUNNING
NVDisplay.ContainerLocalSystem;NVIDIA Display Container LS;RUNNING
NVWMI;NVWMI;RUNNING
OCS Inventory Service;OCS Inventory Service;RUNNING
ose64;Office 64 Source Engine;STOPPED
p2pimsvc;Gestionnaire d'identité réseau homologue;RUNNING
p2psvc;Groupement de mise en réseau de pairs;STOPPED
PcaSvc;Service de l'Assistant Compatibilité des programmes;RUNNING
PeerDistSvc;BranchCache;STOPPED
perceptionsimulation;Service de simulation de perception Windows;STOPPED
PerfHost;Hôte de DLL de compteur de performance;STOPPED
PhoneSvc;Service téléphonique;STOPPED
pla;Journaux & alertes de performance;STOPPED
PlugPlay;Plug-and-Play;RUNNING
PNRPAutoReg;Service de publication des noms d'ordinateurs PNRP;STOPPED
PNRPsvc;Protocole PNRP;RUNNING
PolicyAgent;Agent de stratégie IPsec;RUNNING
Power;Alimentation;RUNNING
PrintNotify;Extensions et notifications d'imprimante;STOPPED
ProfSvc;Service de profil utilisateur;RUNNING
pulseagent;Pulse agent;RUNNING
pulsenetworknotify;Pulse network notify;RUNNING
PulseSecureService;Ivanti Secure Access Client Service;RUNNING
PushToInstall;Service PushToInstall de Windows;STOPPED
QWAVE;Expérience audio-vidéo haute qualité Windows;STOPPED
RasAuto;Gestionnaire des connexions automatiques d'accès à distance;STOPPED
RasMan;Gestionnaire des connexions d'accès à distance;RUNNING
RemoteAccess;Routage et accès distant;STOPPED
RemoteRegistry;Registre à distance;STOPPED
RetailDemo;Service de démo du magasin;STOPPED
RmSvc;Service de gestion radio;RUNNING
RpcEptMapper;Mappeur de point de terminaison RPC;RUNNING
RpcLocator;Localisateur d'appels de procédure distante (RPC);STOPPED
RpcSs;Appel de procédure distante (RPC);RUNNING
RstMwService;RstMwService;RUNNING
SamSs;Gestionnaire de comptes de sécurité;RUNNING
SCardSvr;Carte à puce;RUNNING
ScDeviceEnum;Service d'énumération de périphériques de carte à puce;RUNNING
Schedule;Planificateur de tâches;RUNNING
SCPolicySvc;Stratégie de retrait de la carte à puce;STOPPED
SDRSVC;Sauvegarde Windows;STOPPED
seclogon;Ouverture de session secondaire;STOPPED
SECOMNService;Sound Research SECOMN Service;RUNNING
SecurityHealthService;Service Sécurité Windows;RUNNING
SEMgrSvc;Gestionnaires des paiements et des éléments sécurisés NFC;STOPPED
SENS;Service de notification d'événements système;RUNNING
Sense;Windows Defender Advanced Threat Protection Service;STOPPED
SensorDataService;Service Données de capteur;STOPPED
SensorService;Service de capteur;STOPPED
SensrSvc;Service de surveillance des capteurs;STOPPED
SessionEnv;Configuration des services Bureau à distance;RUNNING
SharedAccess;Partage de connexion Internet (ICS);STOPPED
SharedRealitySvc;Service de données spatiales;STOPPED
ShellHWDetection;Détection matériel noyau;RUNNING
shpamsvc;Shared PC Account Manager;STOPPED
smphost;SMP de l'Espace de stockages Microsoft;RUNNING
SmsRouter;Service Routeur SMS Microsoft Windows.;STOPPED
SNMPTRAP;Interruption SNMP;STOPPED
spectrum;Service de perception Windows;STOPPED
Spooler;Spouleur d'impression;RUNNING
sppsvc;Protection logicielle;STOPPED
SSDPSRV;Découverte SSDP;RUNNING
ssh-agent;OpenSSH Authentication Agent;STOPPED
sshdaemon;Pulse SSH Server;RUNNING
SstpSvc;Service SSTP (Secure Socket Tunneling Protocol);RUNNING
StateRepository;Service State Repository (StateRepository);RUNNING
stisvc;Acquisition d'image Windows (WIA);STOPPED
StorSvc;Service de stockage;RUNNING
svsvc;Vérificateur de points;STOPPED
swprv;Fournisseur de cliché instantané de logiciel Microsoft;STOPPED
SysMain;SysMain;STOPPED
SystemEventsBroker;Service Broker des événements système;RUNNING
TabletInputService;Service du clavier tactile et du volet d'écriture manuscrite;RUNNING
TapiSrv;Téléphonie;STOPPED
TehtrisEPP;TehtrisEPP Agent;RUNNING
TermService;Services Bureau à distance;RUNNING
Themes;Thèmes;RUNNING
TieringEngineService;Gestion des niveaux de stockage;STOPPED
