name
Acrobat
AggregatorHost
AppHelperCap
ApplicationFrameHost
Avaya
BackupLect
BridgeCommunication
CompPkgSrv
CptService
DIADEME_partage_ecran
DiagsCap
EPConsole
EPHost.Integrity
EPIntegrationService
EPProtectedService
EPSecurityService
EPUpdateService
ESSOCredentialManager
EXCEL
EsAppId
EsComm
EsGuard
EsGui
EsGuiSrv
EsInject
EsInjectWow64Host
EsLog
EsPolicy
EsResponse
EsScript
EsScriptHost
EsUsbCtrl
EsWirelessCtrl
FMService64
Greenshot_main
Idle
InfosSupport
IntelCpHDCPSvc
IntelCpHeciSvc
LNPG
Memory
Microsoft.Photos
MoUsoCoreWorker
NetworkCap
ONENOTEM
OUTLOOK
OcsService
PSEXESVC
PresentationFontCache
PrinterAgentSystray
Pulse
PulseSecureService
Registry
RtkAudUService64
RuntimeBroker
SECOMN64
SearchApp
SearchFilterHost
SearchIndexer
SearchProtocolHost
SecurityHealthService
ShellExperienceHost
SoftphoneIntegrations
StartMenuExperienceHost
SysInfoCap
TehtrisEPP
TextInputHost
UserOOBEBroker
WGSS
WGSens
WINWORD
WUDFHost
WinStore.App
WmiPrvSE
Zoom
ZoomOutlookIMPlugin
acumbrellaagent
audiodg
bdredline
cmd
conhost
ctfmon
dasHost
dasTray
dasc
dllhost
dnscryptproxy
dwm
dwmain
esif_uf
explorer
firefox
fontdrvhost
fusioninventory-agent
fvenotify
gpupdate
ibtsiva
iexplore
igfxCUIService
igfxEM
jabra-device-connector
jabra-direct
jhi_service
lbs_native_host
memreader
memscan
msedge
msedgewebview2
nxtbsm
nxtcod
nxtcoordinator
nxteufb
nxtray
nxtsvc
nxtupdater
nxtusm
pacjsworker
python
pythonservice
reg
rundll32
sihost
spoolsv
srvsec
sshd
taskhostw
uhssvc
unsecapp
vds
vpnagent
wapt-get
waptservice
wlanext
zWebview2Agent
