id;name;etat
iphlpsvc;Assistance IP;RUNNING
IpxlatCfgSvc;Service de configuration de conversion IP;STOPPED
jhi_service;Intel(R) Dynamic Application Loader Host Interface Service;RUNNING
KeyIso;Isolation de clé CNG;RUNNING
KtmRm;Service KtmRm pour Distributed Transaction Coordinator;STOPPED
LanmanServer;Serveur;RUNNING
LanmanWorkstation;Station de travail;RUNNING
lfsvc;Service de géolocalisation;RUNNING
LicenseManager;Serveur Gestionnaire de licences Windows;RUNNING
lltdsvc;Mappage de découverte de topologie de la couche de liaison;STOPPED
lmhosts;Assistance NetBIOS sur TCP/IP;RUNNING
LocalKdc;Centre local de distribution de clés Kerberos;STOPPED
LSM;Gestionnaire de session locale;RUNNING
LxpSvc;Service d'expérience linguistique;STOPPED
MapsBroker;Gestionnaire des cartes téléchargées;STOPPED
McmSvc;Ce service assure la gestion des profils pour les modules de connectivité mobile;STOPPED
McpManagementService;McpManagementService;STOPPED
MicrosoftEdgeElevationService;Microsoft Edge Elevation Service (MicrosoftEdgeElevationService);STOPPED
mpssvc;Pare-feu Windows Defender;RUNNING
MSDTC;Coordinateur de transactions distribuées;STOPPED
MSiSCSI;Service Initiateur iSCSI de Microsoft;STOPPED
msiserver;Windows Installer;RUNNING
MsKeyboardFilter;Filtre clavier Microsoft;STOPPED
NaturalAuthentication;Authentification naturelle;STOPPED
NcaSvc;Assistant Connectivité réseau;STOPPED
NcbService;Service Broker pour les connexions réseau;RUNNING
NcdAutoSetup;Configuration automatique des périphériques connectés au réseau;STOPPED
Netlogon;Netlogon;RUNNING
Netman;Connexions réseau;STOPPED
netprofm;Service Liste des réseaux;RUNNING
NetSetupSvc;Service Configuration du réseau;STOPPED
NetTcpPortSharing;Service de partage de ports Net.Tcp;STOPPED
Nexthink Coordinator;Nexthink Coordinator;RUNNING
Nexthink Service;Nexthink Collector Service;RUNNING
NgcCtnrSvc;Conteneur Microsoft Passport;STOPPED
NgcSvc;Microsoft Passport;STOPPED
NlaSvc;Connaissance des emplacements réseau;STOPPED
nsi;Service Interface du magasin réseau;RUNNING
OCS Inventory Service;OCS Inventory Service;RUNNING
OneDrive Updater Service;OneDrive Updater Service;STOPPED
PcaSvc;Service de l'Assistant Compatibilité des programmes;RUNNING
PeerDistSvc;BranchCache;STOPPED
perceptionsimulation;Service de simulation de perception Windows;STOPPED
PerfHost;Hôte de DLL de compteur de performance;STOPPED
PhoneSvc;Service téléphonique;STOPPED
pla;Journaux & alertes de performance;STOPPED
PlugPlay;Plug-and-Play;RUNNING
PolicyAgent;Agent de stratégie IPsec;RUNNING
Power;Alimentation;RUNNING
PrintDeviceConfigurationService;Service de configuration du périphérique d'impression;STOPPED
PrintNotify;Extensions et notifications d'imprimante;STOPPED
PrintScanBrokerService;PrintScanBrokerService;STOPPED
ProfSvc;Service de profil utilisateur;RUNNING
pulseagent;Pulse agent;RUNNING
pulsenetworknotify;Pulse network notify;RUNNING
PulseSecureService;Ivanti Secure Access Client Service;RUNNING
PushToInstall;Service PushToInstall de Windows;STOPPED
QWAVE;Expérience audio-vidéo haute qualité Windows;STOPPED
RasAuto;Gestionnaire des connexions automatiques d'accès à distance;STOPPED
RasMan;Gestionnaire des connexions d'accès à distance;RUNNING
refsdedupsvc;Service de déduplication ReFS;STOPPED
RemoteAccess;Routage et accès distant;STOPPED
RemoteRegistry;Registre à distance;STOPPED
RetailDemo;Service de démo du magasin;STOPPED
RmSvc;Service de gestion radio;RUNNING
RpcEptMapper;Mappeur de point de terminaison RPC;RUNNING
RpcLocator;Localisateur d'appels de procédure distante (RPC);STOPPED
RpcSs;Appel de procédure distante (RPC);RUNNING
RtkAudioUniversalService;Realtek Audio Universal Service;RUNNING
SamSs;Gestionnaire de comptes de sécurité;RUNNING
SCardSvr;Carte à puce;STOPPED
ScDeviceEnum;Service d'énumération de périphériques de carte à puce;RUNNING
Schedule;Planificateur de tâches;RUNNING
SCPolicySvc;Stratégie de retrait de la carte à puce;STOPPED
SDRSVC;Sauvegarde Windows;STOPPED
seclogon;Ouverture de session secondaire;STOPPED
SecurityHealthService;Service Sécurité Windows;RUNNING
SEMgrSvc;Gestionnaires des paiements et des éléments sécurisés NFC;STOPPED
SENS;Service de notification d'événements système;RUNNING
Sense;Windows Defender Advanced Threat Protection Service;STOPPED
SensorDataService;Service Données de capteur;STOPPED
SensorService;Service de capteur;STOPPED
