name
AggregatorHost
CptService
EPConsole
EPHost.Integrity
EPIntegrationService
EPProtectedService
EPSecurityService
EPUpdateService
ESSOCredentialManager
EsAppId
EsComm
EsGuard
EsGui
EsGuiSrv
EsInject
EsInjectWow64Host
EsLog
EsPolicy
EsResponse
EsScript
EsScriptHost
EsUsbCtrl
EsWirelessCtrl
GERECRE
Idle
InfosSupport
IntelAudioService
IntelCpHDCPSvc
LogonUI
LsaIso
Memory
MicrosoftEdgeUpdate
OcsService
OfficeClickToRun
OneApp.IGCC.WinService
PSEXESVC
PrinterAgentSystray
Pulse
PulseSecureService
Registry
RtkAudUService64
RuntimeBroker
SearchFilterHost
SearchHost
SearchIndexer
SearchProtocolHost
Secure
SecurityHealthService
SecurityHealthSystray
ShellHost
StartMenuExperienceHost
TbtP2pShortcutService
TehtrisEPP
TiWorker
TrustedInstaller
UserOOBEBroker
WGSS
WGSens
WMIRegistrationService
WUDFHost
WmiPrvSE
acumbrellaagent
amdfendrsr
audiodg
backgroundTaskHost
bdredline
cmd
conhost
ctfmon
dasTray
dasc
dllhost
dwm
explorer
fontdrvhost
fusioninventory-agent
ipf_uf
ipfsvc
jhi_service
memreader
memscan
msedgewebview2
msiexec
nxtbsm
nxtcod
nxtcoordinator
nxteufb
nxtray
nxtsvc
nxtupdater
nxtusm
pacjsworker
plasrv
python
pythonservice
rdpclip
sihost
smartscreen
spoolsv
srvsec
sshd
taskhostw
vds
vpnagent
wapt-get
waptservice
zabbix_agent2
